"filename", "language", "Markdown", "JavaScript", "JSON", "CSV", "HTML", "MS SQL", "XML", "PostCSS", "YAML", "comment", "blank", "total"
"c:\dev\tickets-new\pages\walkin.html", "HTML", 0, 0, 0, 0, 359, 0, 0, 0, 0, 7, 37, 403
"c:\dev\tickets-new\supabase\database\02_create_settings_table.sql", "MS SQL", 0, 0, 0, 0, 0, 12, 0, 0, 0, 9, 5, 26
"c:\dev\tickets-new\supabase\database\03_fix_settings_policy.sql", "MS SQL", 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 4, 19
"c:\dev\tickets-new\supabase\database\04_get_server_time.sql", "MS SQL", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 2, 10
"c:\dev\tickets-new\supabase\database\04_get_server_time_jst.sql", "MS SQL", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 2, 10
"c:\dev\tickets-new\supabase\database\05_update_rpc_admin_booking.sql", "MS SQL", 0, 0, 0, 0, 0, 47, 0, 0, 0, 11, 7, 65
"c:\dev\tickets-new\supabase\database\06_secure_rpc.sql", "MS SQL", 0, 0, 0, 0, 0, 37, 0, 0, 0, 15, 7, 59
"c:\dev\tickets-new\supabase\database\07_fix_ambiguous_rpc.sql", "MS SQL", 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 3, 13
"c:\dev\tickets-new\supabase\database\07_secure_settings_rls.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 9, 5, 16
"c:\dev\tickets-new\supabase\database\08_create_reservation_rpc.sql", "MS SQL", 0, 0, 0, 0, 0, 73, 0, 0, 0, 9, 10, 92
"c:\dev\tickets-new\supabase\database\08_optimize_indices.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 3, 10
"c:\dev\tickets-new\supabase\database\09_add_bypass_token.sql", "MS SQL", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\dev\tickets-new\supabase\database\11_create_booking_events.sql", "MS SQL", 0, 0, 0, 0, 0, 63, 0, 0, 0, 22, 18, 103
"c:\dev\tickets-new\supabase\database\12_secure_settings.sql", "MS SQL", 0, 0, 0, 0, 0, 11, 0, 0, 0, 12, 5, 28
