"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "XML", "MS SQL", "CSS", "YAML", "comment", "blank", "total"
"c:\dev\tickets-new\gas\MasterDataAPI.gs", "JavaScript", 231, 0, 0, 0, 0, 0, 0, 0, 41, 45, 317
"c:\dev\tickets-new\gas\Migration.gs", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 6, 10, 86
"c:\dev\tickets-new\gas\MissingFunctions.gs", "JavaScript", 1038, 0, 0, 0, 0, 0, 0, 0, 74, 131, 1243
"c:\dev\tickets-new\gas\ReservationAPI.gs", "JavaScript", 305, 0, 0, 0, 0, 0, 0, 0, 55, 74, 434
"c:\dev\tickets-new\gas\SupabaseIntegration.gs", "JavaScript", 231, 0, 0, 0, 0, 0, 0, 0, 31, 41, 303
"c:\dev\tickets-new\gas\SupabaseSettings.gs", "JavaScript", 206, 0, 0, 0, 0, 0, 0, 0, 13, 40, 259
"c:\dev\tickets-new\gas\appsscript.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\dev\tickets-new\gas\system-setting.gs", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 5, 9, 72
"c:\dev\tickets-new\index.html", "HTML", 0, 0, 0, 339, 0, 0, 0, 0, 0, 36, 375
"c:\dev\tickets-new\manifest.json", "JSON", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 86
"c:\dev\tickets-new\pages\admin-login.html", "HTML", 0, 0, 0, 175, 0, 0, 0, 0, 0, 26, 201
"c:\dev\tickets-new\pages\admin-scan.html", "HTML", 0, 0, 0, 136, 0, 0, 0, 0, 0, 19, 155
"c:\dev\tickets-new\pages\admin.html", "HTML", 0, 0, 0, 1071, 0, 0, 0, 0, 0, 97, 1168
"c:\dev\tickets-new\pages\monitoring-dashboard.html", "HTML", 0, 0, 0, 2830, 0, 0, 0, 0, 0, 423, 3253
"c:\dev\tickets-new\pages\reservation-status.html", "HTML", 0, 0, 0, 97, 0, 0, 0, 0, 0, 14, 111
"c:\dev\tickets-new\pages\reservation.html", "HTML", 0, 0, 0, 205, 0, 0, 0, 0, 0, 29, 234
"c:\dev\tickets-new\pages\seats.html", "HTML", 0, 0, 0, 382, 0, 0, 0, 0, 0, 37, 419
"c:\dev\tickets-new\pages\timeslot.html", "HTML", 0, 0, 0, 316, 0, 0, 0, 0, 0, 34, 350
"c:\dev\tickets-new\pages\walkin.html", "HTML", 0, 0, 0, 363, 0, 0, 0, 0, 0, 37, 400
"c:\dev\tickets-new\supabase\database\02_create_settings_table.sql", "MS SQL", 0, 0, 0, 0, 0, 12, 0, 0, 9, 5, 26
"c:\dev\tickets-new\supabase\database\03_fix_settings_policy.sql", "MS SQL", 0, 0, 0, 0, 0, 9, 0, 0, 6, 4, 19
"c:\dev\tickets-new\supabase\database\04_get_server_time.sql", "MS SQL", 0, 0, 0, 0, 0, 6, 0, 0, 2, 2, 10
"c:\dev\tickets-new\supabase\database\04_get_server_time_jst.sql", "MS SQL", 0, 0, 0, 0, 0, 6, 0, 0, 2, 2, 10
